,1,2,3,4,5
Biomass 42,29.088,29.15540425531915,0.0,0.0,0.0
Biomass 43,24.934752000000003,26.206800000000005,29.144543973333327,29.467849466666667,0.0
Biomass 44,29.087999999999994,29.05362445414847,0.0,0.0,0.0
Biomass 45,29.087999999999994,29.05362445414847,0.0,0.0,0.0
Biomass 46,29.088,29.0816,0.0,0.0,0.0
Biomass 47,33.2376,33.234320000000004,0.0,0.0,0.0
Biomass 48,33.2376,33.234320000000004,0.0,0.0,0.0
Biomass 49,29.088,32.0004,0.0,0.0,0.0
Biomass 50,29.088,29.081599999999998,0.0,0.0,0.0
Biomass 51,29.087999999999997,31.990399999999998,0.0,0.0,0.0
Biomass 52,29.088,29.0896,0.0,0.0,0.0
Biomass 53,29.088,31.9984,0.0,0.0,0.0
Biomass 54,29.088,31.9984,0.0,0.0,0.0
Biomass 55,29.088,31.9984,0.0,0.0,0.0
Biomass 56,29.088,29.090295652173914,0.0,0.0,0.0
Biomass 57,29.088,29.0896,0.0,0.0,0.0
Biomass 58,29.088,29.0896,0.0,0.0,0.0
Biomass 59,29.088,29.090295652173914,0.0,0.0,0.0
Biomass 60,29.088,29.0896,0.0,0.0,0.0
Biomass 61,29.088,29.15540425531915,0.0,0.0,0.0
Biomass 62,32.400000000000006,32.4016,0.0,0.0,0.0
CC NG 01,35.040600000000005,65.74798626506025,0.0,0.0,0.0
CC NG 03,27.801629921260368,35.04082587809104,0.0,0.0,0.0
CC NG 04,34.88626800000001,39.47395275,0.0,0.0,0.0
CC NG 05,28.997298000000008,55.048728600000004,0.0,0.0,0.0
CC NG 06,51.98282999999984,52.299324006734004,52.731107976653696,53.59716000000002,52.59533083703704
CC NG 07,35.04060000000016,49.91314573502723,0.0,0.0,0.0
CC NG 08,38.70422999999999,51.5364575034965,0.0,0.0,0.0
CC NG 09,38.70422999999999,51.53532463636363,0.0,0.0,0.0
CC NG 10,46.87619310182567,47.14399798994972,48.44706243881974,0.0,0.0
CC NG 11,30.316787928464944,32.75526606051575,35.22668400655839,37.69923606557373,38.93400778001342
CC NG 12,47.91139201289398,50.591681977946266,55.0109880217786,58.79385293333334,0.0
CC NG 13,35.04059999999968,41.56762900523561,0.0,0.0,0.0
CC NG 14,39.52265401156069,42.7015799784134,45.92343597626751,49.14685801403133,48.28186248861912
CC NG 15,56.22372000000001,60.21961197530862,66.33521999999998,67.66167159259258,0.0
CC NG 16,29.043630021346758,31.379669998059395,33.74730001940614,36.11606394333399,48.600000000000016
CC NG 17,32.713524006908465,35.344781980426056,38.01157202072536,40.679657973517536,42.01208186528497
CC NG 18,29.33992811704837,31.699835976991494,34.09160397420251,36.484560048806,47.09939394773037
CC NG 19,26.91241199722602,29.077056033287143,31.27091393897364,33.465852047189436,40.23010801687765
CC NG 20,35.040600000000126,82.17149441860464,0.0,0.0,0.0
CC NG 21,43.59214799422799,38.24813853968254,0.0,0.0,0.0
CC NG 22,25.88349609951504,27.62904591011962,29.374542030391193,31.12009198189458,44.88539391891902
CC NG 23,29.390040053583384,31.753943873053174,34.1498160176341,36.546822042615744,49.0332421221864
CC NG 24,34.18594198939853,38.23173272348654,0.0,0.0,0.0
CC NG 25,35.04060000879391,65.74725657125269,0.0,0.0,0.0
CC NG 26,38.88,38.88,0.0,0.0,0.0
CC NG 27,35.040599999999344,41.57391913043478,0.0,0.0,0.0
CC NG 28,37.787796005475634,43.25400106887052,0.0,0.0,0.0
CC NG 29,35.04059999999999,65.74805927855711,0.0,0.0,0.0
CC NG 31,30.27472200211303,32.70979807184361,35.177814002642044,37.64696381405178,38.880464309063896
CC NG 32,35.04059999999997,110.04733050583657,0.0,0.0,0.0
CC NG 33,51.98282999534234,52.29932499999959,52.73109999999585,53.597160000002766,51.95701832797428
CC NG 34,28.613844123506006,30.91532399190408,33.24790798692195,35.58162597321713,47.24616595672175
CC NG 35,29.201633994427166,31.550418059652582,33.93090001639076,36.3125699770567,48.60000000000004
CC NG 36,29.22355795076516,31.574069993346615,33.95633399866936,36.33978602794407,37.52998377245509
CC NG 37,28.0612619558553,30.153005984934467,32.24475003439261,34.336493973914486,48.58234198113209
CC NG 38,29.951045995423364,32.36009404352801,34.80170400916382,37.244447995418064,48.60000000000003
CC NG 39,35.040600000000005,71.14135117408907,0.0,0.0,0.0
CC NG 40,30.453915603448277,32.903398789531096,35.38599476553977,36.223251449275395,21.823238929569964
CT NG 01,48.48384598425198,51.196103937007884,55.66822204724407,56.223854881889764,0.0
CT NG 02,48.432221986970696,51.14167204724408,55.609037818181854,56.22371618110236,0.0
CT NG 03,48.48384595469256,51.196104040404045,55.66822217741939,56.221740363636364,0.0
CT NG 04,48.48384595469256,51.196104040404045,55.66822217741939,56.221740363636364,0.0
CT NG 05,54.965952004008024,59.430131997327955,69.55102795591185,70.24646364729459,0.0
CT NG 06,54.965952004008024,59.430131997327955,69.55102795591185,70.24646364729459,0.0
CT NG 07,54.965952004008024,59.430131997327955,69.55102795591185,70.24646364729459,0.0
CT NG 08,53.85733199999997,60.14066400000003,67.96915199999998,68.649336,0.0
CT NG 09,47.3702039906103,50.020199999999996,54.38961002194586,53.626917039999995,0.0
CT NG 10,47.3702039906103,50.020199999999996,54.38961002194586,53.626917039999995,0.0
CT NG 11,47.3702039906103,50.020199999999996,54.38961002194586,53.626917039999995,0.0
CT NG 12,47.3702039906103,50.020199999999996,54.38961002194586,53.626917039999995,0.0
CT NG 13,53.85733199732798,60.14066666666631,67.9691500000002,64.0080124537037,0.0
CT NG 14,53.85733199732798,60.14066666666631,67.9691500000002,64.0080124537037,0.0
CT NG 15,53.85733199732798,60.14066666666631,67.9691500000002,64.0080124537037,0.0
CT NG 16,48.48384599358975,51.19610400801605,55.66822204408814,56.229377635270545,0.0
CT NG 17,41.3196659894459,36.258483202898546,0.0,0.0,0.0
CT NG 18,41.319666,36.33417484615385,0.0,0.0,0.0
CT NG 19,41.319666,36.33417484615385,0.0,0.0,0.0
CT NG 20,41.3196659894459,36.258483202898546,0.0,0.0,0.0
CT NG 21,30.289518000000044,31.548149999999993,32.806835999999976,34.06546800000001,35.324153999999965
CT NG 22,30.289518000000044,31.548149999999993,32.806835999999976,34.06546800000001,35.324153999999965
CT NG 23,30.289518000000044,31.548149999999993,32.806835999999976,34.06546800000001,35.324153999999965
CT NG 24,30.289518000000044,31.548149999999993,32.806835999999976,34.06546800000001,35.324153999999965
CT NG 25,30.289518000000044,31.548149999999993,32.806835999999976,34.06546800000001,35.324153999999965
CT NG 26,30.289518000000044,31.548149999999993,32.806835999999976,34.06546800000001,35.324153999999965
CT NG 27,49.49680885714286,54.89680885714286,0.0,0.0,0.0
CT NG 28,56.49804,61.086635981838846,71.4896279545453,70.24100704225351,0.0
CT NG 29,49.509666,54.909666,0.0,0.0,0.0
CT NG 30,56.22372000000001,60.219612,66.3352200555556,67.66067161111113,0.0
CT NG 31,49.48979587012987,54.88979587012987,0.0,0.0,0.0
CT NG 32,49.487165999999995,54.887166,0.0,0.0,0.0
CT NG 33,49.46120446153846,54.861204461538456,0.0,0.0,0.0
CT NG 34,30.11056199999997,31.57131599999998,33.03201600000007,34.49271599999995,35.95346999999997
CT NG 35,30.11056199999997,31.57131599999998,33.03201600000007,34.49271599999995,35.95346999999997
CT NG 36,30.11056199999997,31.57131599999998,33.03201600000007,34.49271599999995,35.95346999999997
CT NG 37,49.46120446153846,54.861204461538456,0.0,0.0,0.0
CT NG 38,49.48219231578947,54.88219231578947,0.0,0.0,0.0
CT NG 39,49.46120446153846,54.861204461538456,0.0,0.0,0.0
CT NG 40,41.31966599078341,42.47602425806451,0.0,0.0,0.0
CT NG 41,41.033627983153956,44.33405399644752,47.67908404255326,51.025734090909104,48.281034777777776
CT NG 42,56.555010013486175,59.813369993932014,60.4090081553398,0.0,0.0
CT NG 43,49.951295966907956,52.72641008939974,69.35827292,0.0,0.0
CT NG 44,48.483846021220174,51.19610397680199,55.66822201986757,56.223917713338864,0.0
CT NG 45,48.483846021220174,51.19610397680199,55.66822201986757,56.223917713338864,0.0
CT NG 46,30.043602020202044,31.24872000000002,32.453837979797974,33.658902020201985,34.86402000000001
CT NG 47,30.043602020202044,31.24872000000002,32.453837979797974,33.658902020201985,34.86402000000001
CT NG 48,30.043602020202044,31.24872000000002,32.453837979797974,33.658902020201985,34.86402000000001
CT NG 49,30.043602020202044,31.24872000000002,32.453837979797974,33.658902020201985,34.86402000000001
CT NG 50,48.27481203619909,50.97540594369139,55.42824605263154,56.22682183746998,0.0
CT NG 51,30.2238,72.4787136756126,0.0,0.0,0.0
CT NG 52,30.223800000000008,72.47934907563025,0.0,0.0,0.0
CT NG 53,30.223800000000008,72.47934907563025,0.0,0.0,0.0
CT NG 54,50.02349398907105,55.948555310621245,0.0,0.0,0.0
CT NG 55,55.753433995901624,0.0,65.78031603202848,67.66014226666667,0.0
CT NG 56,48.09407402173913,50.78456997690532,55.220724055415644,56.23096814498934,0.0
CT NG 66,48.48384604444443,51.196104000000005,55.66822200000004,56.225404511111115,0.0
CT NG 67,48.48384604444443,51.196104000000005,55.66822200000004,56.225404511111115,0.0
CT NG 68,48.4181279751332,51.12676800433838,55.59283800383872,56.22958475374731,0.0
CT NG 69,41.437224036697266,41.84546397058829,42.25370403669721,42.66188988970588,43.07013009174314
CT NG 70,48.25753201219511,50.95720804455448,55.40842798092208,56.22324779645616,0.0
CT NG 71,48.25753201219511,50.95720804455448,55.40842798092208,56.22324779645616,0.0
CT NG 72,41.460714000000074,41.87402999999995,42.2874,42.70071599999987,43.114086000000086
CT NG 73,41.460714000000074,41.87402999999995,42.2874,42.70071599999987,43.114086000000086
CT NG 74,38.70390595567867,41.81700612745093,44.97211793611796,48.12874201424211,48.281324761904756
CT NG 75,56.62634402445804,59.844312,48.79966676587302,0.0,0.0
CT Oil 01,53.85733201342281,60.14066398210287,67.96915201342286,68.64859667114094,0.0
CT Oil 02,53.85733201342281,60.14066398210287,67.96915201342286,68.64859667114094,0.0
CT Oil 03,53.85733201342281,60.14066398210287,67.96915201342286,68.64859667114094,0.0
CT Oil 04,56.22372001404492,60.219611985018744,66.33522001404492,67.66188508426966,0.0
CT Oil 05,56.22372001404492,60.219611985018744,66.33522001404492,67.66188508426966,0.0
Geo 01,0.0,0.0,0.0,0.0,0.0
ICE NG 01,52.27347876923076,57.67347876923077,0.0,0.0,0.0
ICE NG 02,42.78376800595238,44.39058583333333,0.0,0.0,0.0
ICE NG 03,42.78376800595238,44.39058583333333,0.0,0.0,0.0
ICE NG 04,42.78376800595238,44.39058583333333,0.0,0.0,0.0
ICE NG 05,42.78376800595238,44.39058583333333,0.0,0.0,0.0
ICE NG 06,42.78376800595238,44.39058583333333,0.0,0.0,0.0
ICE NG 07,42.78376800595238,44.39058583333333,0.0,0.0,0.0
ST Coal 01,18.308574002890172,18.987425000000663,19.666277499997967,20.345147500001282,21.09258000000028
ST NG 01,48.67543799731182,49.84502399895657,51.22018801200104,52.119719964001774,52.56746224999999
ST NG 02,47.536092004970996,49.318037993639024,53.06488205671881,56.53767591858311,57.05430612307692
ST NG 03,46.43222398887612,46.467594028625065,49.730058009267395,53.85662996098481,54.19498005617977
ST NG 04,23.123340004564124,46.17876611821086,0.0,0.0,0.0
ST NG 05,23.123340004564124,46.17876611821086,0.0,0.0,0.0
ST NG 06,52.95472201336676,54.94732198327359,59.09117399442452,62.916102016868386,63.60006150566894
ST NG 07,53.63625599164926,54.92950198965381,57.618648030242724,60.10054199118296,60.73536593197279
ST NG 08,51.84620999850768,53.17066799714898,55.92483002566292,58.46687995149559,59.06427549019608
ST NG 09,49.66601399894347,51.30955805148915,54.7273799369085,57.882005970862224,58.4747337962963
ST NG 10,50.58595799828913,53.464374007367965,59.45146198854338,64.97809199999999,65.62787230117647
ST Other 01,248.20382999999993,260.8659900000001,290.1087004166665,253.17151108695654,0.0
ST Other 02,117.53699999999999,419.8992552631579,0.0,0.0,0.0
